Variable,CategoryIndex,Value,ErrorFlag
GENDER,0,47.5212,0
GENDER,1,54.4725,0
SRACE10,0,54.7231,0
SRACE10,1,41.8786,0
SRACE10,2,47.0722,0
SRACE10,3,58.1525,0
SRACE10,4,999,1
SRACE10,5,999,1
SRACE10,6,999,1
SDRACE,0,54.7231,0
SDRACE,1,41.8786,0
SDRACE,2,47.0722,0
SDRACE,3,57.5972,0
SDRACE,4,46.1905,0
SDRACE,5,49.9141,0
PARED,0,46.3003,0
PARED,1,46.5239,0
PARED,2,51.5565,0
PARED,3,54.7813,0
PARED,4,42.8343,0
SCHTYP1,0,50.1658,0
SCHTYP1,1,60.2856,0
SCHTYP1,2,61.33610,0
CENSREG,0,52.7405,0
CENSREG,1,51.3224,0
CENSREG,2,50.8618,0
CENSREG,3,49.3604,0
UTOL4,0,49.0449,0
UTOL4,1,51.7461,0
UTOL4,2,52.5735,0
UTOL4,3,51.6343,0
IEP,0,40.798,0
IEP,1,52.3738,0
LEP,0,39.8654,0
LEP,1,51.6506,0
SLUNCH1,0,46.1614,0
SLUNCH1,1,54.8776,0
SLUNCH1,2,57.5067,0
